"Postaja","Glob_sevanje_max","Glob_sevanje_mean","Hitrost_vetra_max","Hitrost_vetra_mean","Hitrost_vetra_min","Sunki_vetra_max","Sunki_vetra_mean","Sunki_vetra_min","Padavine_mean","Padavine_sum","Pritisk_max","Pritisk_mean","Pritisk_min","Vlaga_max","Vlaga_mean","Vlaga_min","Temperatura_Krvavec_max","Temperatura_Krvavec_mean","Temperatura_Krvavec_min","Temperatura_lokacija_max","Temperatura_lokacija_mean","Temperatura_lokacija_min","O3","Mesec","Predviden_O3"
"570","Koper",367,70.25,2.7,2.15,1.8,4.5,3.35,2.7,0,0,1017.3,1017.075,1016.9,74.1,68.8625,47.2,11.5,8.75,7.2,22.2,17.0625,15.3,123.3,"8",93.3833333333333
"451","Koper",267,53,1.8,1.15,0.6,2.6,2.175,1.1,0,0,1016.7,1016.1875,1015.8,93,91.1,85.6,5.8,4.875,4.3,14.2,12.4,11.3,94.05,"4",89.7833333333333
"2061","Ljubljana",43,13.75,0.9,0.35,0,2.8,1.3375,0,0,0,985.1,983.5,982.2,77.5,75.9125,71.9,7.8,6.7625,5.9,16.7,16.225,15.9,96.15,"5",122.95
"735","Koper",45,5.625,2,1.725,1.6,3.9,3.3125,2.8,0,0,1026.4,1024.8,1023.9,61.3,60.2625,58,-4.9,-6.2875,-6.6,5.2,4.5125,4,102,"2",87.6333333333333
"1603","Ljubljana",8,1,1.7,1.1125,0.5,5.5,3.1125,1.6,0,0,976.3,975.275,974.6,92.1,88.475,83.8,-6.5,-7.35,-8.2,1,-0.175,-0.9,42.1,"1",21.95
"586","Koper",354,59,2.7,1.8875,1.1,4,3.1,1.9,0,0,1016.6,1015.975,1015.7,86.7,82.65,65.9,7.4,5.9125,5.4,18.6,15.0125,13.9,110.05,"9",85.3666666666667
"56","Koper",114,14.625,2.2,1.6125,1.3,3.6,2.975,2.2,0,0,1024.6,1024.025,1023.6,75.1,72.6125,70.3,-2.3,-2.4875,-2.6,5.6,5.1125,4.4,86.2,"2",75.0666666666667
"363","Koper",0,0,2.4,1.35,0.7,4.4,2.7125,1.6,1.3625,10.8,1011.6,1010.9625,1010.4,94.8,92.1,87.7,1,0.7,0.5,12.3,11.8,11.5,86.5,"1",56.4833333333333
"1528","Ljubljana",108,16.625,2.4,1.4,0.8,4,2.9,1.8,0,0.5,988.9,988.075,987.8,91.1,87.1125,83.9,5.2,4.6375,4.1,14,11.7625,9.5,86.3,"10",63.9
"1570","Ljubljana",12,1.5,0.5,0.3875,0.2,2.1,1.525,0.9,0,0,989.7,988.325,987,97.3,95.425,94.1,-2.2,-2.9375,-3.9,0.2,-0.5875,-1.7,4.95,"12",5.2
"1964","Ljubljana",26,3.25,0.6,0.45,0.3,1.5,1.0875,0.9,0,0,992,990.575,989.7,92.9,89.0375,84,1.4,0.9375,0,-1.1,-2.45,-3.3,92.1,"2",72.7
"675","Koper",0,0,1.7,1.25,0.6,2.6,2.1375,1.1,0.0625,0.5,1018.4,1016.5625,1015,92,90.55,88.4,0.5,0.375,0.1,11.2,10.3875,9.7,58.05,"12",56.55
"1645","Ljubljana",153,21.5,0.8,0.3125,0,2.6,1.15,0,0,0,996.9,996.175,995.8,92.2,89.3125,86,0.5,-0.125,-1.2,3.1,1.8125,0.6,97.1,"3",73.9166666666667
"947","Koper",67,8.375,3.1,2.3875,1.9,9.1,6.7375,4.9,0,0,1021.1,1018.675,1016.8,68.4,64.525,61.4,-3.2,-3.4875,-3.7,10.1,9.6,9.2,70.85,"2",67.7
"567","Koper",230,43.375,2.3,1.7375,0.9,5.5,3.225,2.1,0,1.4,1014.4,1012.625,1011.3,77.1,73.2625,67.8,8.7,7.5875,6.6,22.9,20.3625,19.1,94.8,"8",101.1
"1258","Koper",15,1.875,2.1,1.7,1.5,4.1,3.3125,2.6,0,0,1030.7,1029.625,1028.8,73.7,70.3125,65.1,5.9,2.5,1,5,3.6875,2.8,75.7,"12",68.1333333333333
"1279","Ljubljana",1.8,0.225,0.9,0.5875,0.2,1.8,1.5125,1.3,0,0,977.4,976.7,976,92.3,91.2125,89.4,-3.9,-4.7625,-5.5,-0.8,-0.9875,-1.1,23.35,"1",41.7333333333333
"863","Koper",483,110.375,2,1.575,1.1,3.4,2.7,2.1,0,0,1020.4,1020.0625,1019.7,77.3,69.475,52.6,12.3,10.475,9.9,24.7,21.1,19.3,132,"6",141.216666666667
"154","Koper",474,102.875,2,1.5,0.9,3.5,2.5875,1.7,0,0,1016.6,1016,1015.5,77.4,70.525,55.8,14.5,11.9,11.1,26.5,21.8625,19.9,144.55,"6",160.566666666667
"1070","Koper",527,115.75,2.8,1.9,1,4.7,3.4125,1.9,0,0,1017.2,1016.6875,1016.2,68.2,60.05,47.2,9.3,7.6625,6.4,24.4,20.825,18.9,98.65,"6",99.1166666666667
"1788","Ljubljana",13,3.5,4.1,1.6125,0.7,8,3.7875,1.5,1.9875,15.9,976.1,974.1875,973.3,98,96.75,94.3,11.1,10.475,9.2,19.6,18.625,16.3,49.05,"8",78.8333333333333
