"Postaja","Glob_sevanje_max","Glob_sevanje_mean","Hitrost_vetra_max","Hitrost_vetra_mean","Hitrost_vetra_min","Sunki_vetra_max","Sunki_vetra_mean","Sunki_vetra_min","Padavine_mean","Padavine_sum","Pritisk_max","Pritisk_mean","Pritisk_min","Vlaga_max","Vlaga_mean","Vlaga_min","Temperatura_Krvavec_max","Temperatura_Krvavec_mean","Temperatura_Krvavec_min","Temperatura_lokacija_max","Temperatura_lokacija_mean","Temperatura_lokacija_min","O3","Mesec","Predviden_O3"
"149","Koper",288.9,78.575,2.2,1.725,1,3.7,2.925,2,0.2875,0,1011.5,1010.6125,1010.1,84.1,78.1,65.9,6.2,5.775,5.5,20.3,17.6125,16.4,124.35,"6",126.116666666667
"150","Koper",449,108.625,2.3,1.7625,0.9,3.7,3.0625,1.7,0,0,1017,1016.2125,1015.6,71.6,63.2,47.2,8.1,6.725,6,21.7,17.525,15.4,134.5,"6",128.316666666667
"153","Koper",468,104.375,1.8,1.35,0.7,3.3,2.5375,1.5,0,0,1015.2,1014.85,1014.6,68.1,62.375,50.7,12.2,10.825,10,25.4,20.7,18.7,162.75,"6",151.15
"155","Koper",480,106.5,2.2,1.4375,0.7,3.4,2.5875,1.3,0,0,1017.1,1016.8125,1016.6,80.4,74.0375,62.6,17,13.6,12.4,25.6,22.525,20.7,162.55,"6",154.916666666667
"159","Koper",497,110.25,3,1.9875,1.1,5.4,3.7625,2.4,0,0,1014.3,1013.4375,1012.7,68.9,55.775,40.2,14.9,13.8375,13.5,29.3,27.15,25.5,118.55,"6",140.516666666667
"160","Koper",307,68.75,3.5,1.8125,1,6.3,3.175,1.8,0,0,1015.3,1014.325,1013.6,55.5,46.2,40.2,6.6,5.4875,4.6,21,18.7125,17.3,111.5,"6",130.35
"167","Koper",280,77.25,2.4,1.8625,0.7,3.8,3.05,1.7,0,0,1018.7,1018.2375,1018,69.1,64,54.2,11.7,8.6875,7.4,22.1,18.275,16.5,113.15,"7",130.5
"171","Koper",463,108,2.1,1.5125,0.8,5.1,3.05,1.9,0,0,1021.8,1021.5375,1021.4,58.5,47.5125,32.2,12.4,11.55,11,28.6,24.85,22,115.1,"7",137.433333333333
"177","Koper",443,88.375,2.7,2.0875,0.9,7.9,4.7125,2.4,0,0,1015.4,1014.475,1013.7,67.1,55.9125,41.8,9.6,8.6875,8.3,24.6,22.725,21,143.2,"7",162.2
"181","Koper",443,95.125,2,1.35,0.6,3.6,2.5875,1.5,0,0,1020.9,1019.6625,1018.7,69.7,58.7,40,11.7,9.6125,8.7,25.2,22.1625,20.7,145.9,"7",148.783333333333
"186","Koper",76,13.5,2.4,1.675,0.9,5.6,3.6875,2.6,0.2,1.6,1017.6,1016.475,1015.6,66.8,54.5625,41.9,12.2,11.3375,10.6,26.2,23.975,22.7,128.15,"7",146.366666666667
"187","Koper",456,96.375,2.8,2.025,1.4,6.1,4.6,2.9,0,0,1017.8,1017.1,1016.8,43,38.6875,33.3,12.5,10.825,10.3,27.2,25.3875,24.5,138.5,"7",145.766666666667
"188","Koper",250,70.375,3,2.4375,1.1,5.5,3.7875,2.5,0,0,1014.3,1013.125,1011.9,65.8,55.3875,50.8,15.9,13.925,13.3,26,23.25,21.9,177.2,"7",141.233333333333
"196","Koper",446,92.375,2.6,1.5875,0.5,3.9,2.6625,1.4,0,0,1018.9,1018.2375,1017.8,58.9,53.0875,40.7,14.1,11.9,11,27.8,23.575,21.4,134.85,"8",128.983333333333
"197","Koper",442,91.875,2.3,1.6625,0.7,3.3,2.675,1.5,0,0,1017.5,1017.225,1016.8,70.1,65.275,56.5,17.6,15.4625,14.5,27.6,23.5125,21.8,196.25,"8",130.683333333333
